date;price
07/11/2013;2.833.023
08/11/2013;323.767
09/11/2013;3.361.358
10/11/2013;3.119.005
11/11/2013;3.326.263
12/11/2013;3.493.425
13/11/2013;3.932.795
14/11/2013;410.723
15/11/2013;4.091.675
16/11/2013;4.288.238
17/11/2013;476.295
18/11/2013;6.743.768
19/11/2013;5.418.257
20/11/2013;5.726.675
21/11/2013;6.958.668
22/11/2013;7.474.818
23/11/2013;7.766.998
24/11/2013;751.377
25/11/2013;7.786.753
26/11/2013;899.02.00
27/11/2013;9.484.088
28/11/2013;1.037.755
29/11/2013;11.203.971
30/11/2013;11.247.631
01/12/2013;9.469.237
02/12/2013;10.383.485
03/12/2013;10.686.675
04/12/2013;11.472.457
05/12/2013;10.420.267
06/12/2013;8.340.262
07/12/2013;6.944.709
08/12/2013;7.953.968
09/12/2013;8.980.222
10/12/2013;9.899.975
11/12/2013;8.832.617
12/12/2013;8.757.474
13/12/2013;8.982.112
14/12/2013;867.495
15/12/2013;8.794.692
16/12/2013;712.508
17/12/2013;6.838.408
18/12/2013;5.222.288
19/12/2013;6.984.503
20/12/2013;6.228.418
21/12/2013;6.089.638
22/12/2013;6.178.158
23/12/2013;6.731.677
24/12/2013;6.676.203
25/12/2013;6.873.557
26/12/2013;7.652.067
27/12/2013;7.467.232
28/12/2013;7.304.715
29/12/2013;7.450.712
30/12/2013;7.547.645
31/12/2013;7.574.953
01/01/2014;7.704.357
02/01/2014;8.080.485
03/01/2014;830.024
04/01/2014;8.589.833
05/01/2014;9.400.972
06/01/2014;9.513.865
07/01/2014;8.105.833
08/01/2014;8.599.485
09/01/2014;860.895
10/01/2014;8.846.667
11/01/2014;930.905
12/01/2014;8.732.635
13/01/2014;8.579.564
14/01/2014;851.828
15/01/2014;874.713
16/01/2014;8.473.735
17/01/2014;828.222
18/01/2014;8.437.583
19/01/2014;8.786.807
20/01/2014;8.710.483
21/01/2014;8.742.885
22/01/2014;863.95
23/01/2014;8.543.475
24/01/2014;8.251.221
25/01/2014;8.618.516
26/01/2014;8.801.523
27/01/2014;8.145.302
28/01/2014;8.339.395
29/01/2014;8.375.148
30/01/2014;8.458.467
31/01/2014;8.482.875
01/02/2014;8.530.164
02/02/2014;854.375
03/02/2014;8.469.048
04/02/2014;8.420.123
05/02/2014;820.867
06/02/2014;7.836.211
07/02/2014;703.567
08/02/2014;6.769.094
09/02/2014;6.819.371
10/02/2014;6.797.338
11/02/2014;6.694.418
12/02/2014;6.483.835
13/02/2014;5.984.075
14/02/2014;6.566.068
15/02/2014;645.43.00
16/02/2014;6.106.525
17/02/2014;621.494
18/02/2014;6.212.235
19/02/2014;617.71
20/02/2014;5.522.138
21/02/2014;5.690.425
22/02/2014;6.047.473
23/02/2014;6.045.823
24/02/2014;5.453.225
25/02/2014;5.347.108
26/02/2014;5.770.858
27/02/2014;576.698
28/02/2014;5.439.265
01/03/2014;5.637.358
02/03/2014;5.603.045
03/03/2014;6.611.225
04/03/2014;663.598
05/03/2014;6.617.858
06/03/2014;6.587.245
07/03/2014;6.258.278
08/03/2014;615.24.00
09/03/2014;6.331.825
10/03/2014;6.258.285
11/03/2014;6.289.543
12/03/2014;6.313.913
13/03/2014;638.165
14/03/2014;6.267.067
15/03/2014;6.336.652
16/03/2014;6.307.167
17/03/2014;6.212.225
18/03/2014;6.136.315
19/03/2014;6.088.157
20/03/2014;5.865.898
21/03/2014;5.707.705
22/03/2014;5.644.215
23/03/2014;5.613.534
24/03/2014;5.862.718
25/03/2014;5.822.802
26/03/2014;5.790.722
27/03/2014;4.781.595
28/03/2014;5.024.399
29/03/2014;4.931.803
30/03/2014;4.618.695
31/03/2014;4.584.972
01/04/2014;4.787.163
